
familyID,familyGuardian,familyStatus,motherEdu,fatherEdu,fatherJobID,motherJobID,familySizeID
413,mother,T,4,2,3,5,2
414,other,T,1,1,3,1,2
415,other,T,1,1,3,3,1
416,other,T,4,4,3,5,1
417,mother,A,3,2,3,3,2
418,father,T,3,2,3,1,1
419,father,T,2,3,4,3,1
420,mother,T,2,1,3,3,1
421,mother,A,2,2,3,4,2
422,mother,T,1,0,3,3,1
423,mother,T,3,2,3,4,1
424,father,T,1,3,3,1,1
425,mother,T,2,2,3,3,1
426,mother,T,1,1,4,1,1
427,mother,T,3,3,3,1,1
428,mother,T,2,3,4,1,1
429,mother,T,2,1,3,1,2
430,mother,A,4,4,3,1,2
431,mother,A,1,2,3,3,1
432,father,T,3,2,3,1,1
433,father,T,1,1,3,3,1
434,mother,T,4,4,3,5,1
435,mother,A,2,2,3,1,2
436,father,T,1,1,4,1,2
437,mother,T,1,1,4,3,2
438,mother,T,0,2,3,3,1
439,mother,T,2,3,3,3,1
440,father,T,3,3,4,3,1
441,mother,T,1,1,4,1,1
442,mother,T,1,1,3,3,1
443,father,T,4,1,4,2,2
444,father,T,4,1,4,2,2
445,mother,T,3,4,2,3,1
446,mother,T,1,1,3,3,1
447,father,T,3,3,1,1,2
448,mother,T,2,1,3,3,1
449,mother,T,4,4,5,5,1
450,mother,T,1,2,4,3,1
451,mother,T,2,3,4,3,1
452,father,T,1,2,3,3,1
453,mother,T,2,2,3,3,1
454,mother,T,1,2,4,3,1
455,mother,T,1,2,4,3,1
456,mother,T,2,1,3,1,1
457,father,T,1,1,3,1,1
458,mother,T,1,2,4,1,2
459,father,T,1,1,3,3,1
460,father,T,1,1,3,1,1
461,father,T,1,1,3,1,1
462,mother,T,1,1,3,1,1
463,father,T,1,1,1,1,1
464,father,T,2,2,3,3,2
465,father,T,1,1,3,1,1
466,father,T,1,2,3,3,1
467,mother,T,3,1,4,3,1
468,father,T,2,2,4,3,1
469,mother,T,2,2,3,2,1
470,father,T,4,4,5,3,1
471,mother,T,3,3,3,4,1
472,mother,T,2,2,3,1,1
473,father,T,2,2,3,3,2
474,mother,T,2,1,4,1,2
475,father,T,1,3,3,1,2
476,mother,T,2,2,4,3,1
477,mother,T,2,1,3,3,2
478,father,T,3,3,4,4,1
479,father,T,1,1,3,1,1
480,mother,T,2,2,1,3,1
481,other,T,2,3,4,1,1
482,mother,T,2,1,3,1,1
483,mother,T,1,1,3,1,2
484,father,T,2,2,3,3,1
485,mother,A,2,2,3,3,2
486,mother,T,2,2,3,1,1
487,father,T,2,2,4,3,1
488,other,A,3,2,3,3,2
489,mother,T,1,1,4,1,1
490,mother,T,1,1,3,3,1
491,mother,T,1,1,1,1,1
492,other,T,1,1,3,3,1
493,mother,A,2,2,3,2,1
494,father,T,0,1,1,3,1
495,mother,T,1,2,3,1,2
496,mother,T,3,3,3,3,1
497,mother,T,1,1,4,4,2
498,mother,T,3,3,1,4,1
499,mother,T,2,1,4,3,1
500,mother,T,2,2,3,4,1
501,father,T,1,2,3,3,1
502,father,T,4,3,3,3,2
503,mother,T,2,2,4,4,2
504,other,T,1,1,3,3,1
505,mother,T,2,2,3,3,2
506,mother,T,1,1,3,1,1
507,mother,T,3,3,4,1,1
508,father,T,1,1,4,3,2
509,mother,T,2,2,3,3,1
510,father,T,1,1,3,1,2
511,mother,T,2,2,3,3,1
512,mother,A,1,0,3,3,1
513,mother,T,1,1,3,1,1
514,mother,T,3,1,3,3,1
515,mother,T,3,2,1,4,1
516,mother,T,1,1,1,3,2
517,father,T,4,4,5,2,1
518,mother,T,1,2,3,3,2
519,father,A,2,4,4,3,1
520,mother,T,2,1,4,3,1
521,mother,T,1,1,3,1,2
522,mother,T,2,3,4,1,1
523,mother,T,4,4,2,2,1
524,mother,T,4,4,2,1,2
525,mother,T,3,4,3,1,2
526,mother,T,4,4,4,3,2
527,mother,T,4,1,3,3,1
528,mother,T,2,2,4,4,2
529,mother,T,2,2,3,1,1
530,father,T,4,4,4,4,2
531,mother,T,3,3,4,4,1
532,mother,T,1,1,4,1,1
533,mother,T,2,1,4,2,1
534,mother,T,2,1,4,3,2
535,father,T,4,4,2,5,2
536,mother,T,1,2,4,3,1
537,mother,A,2,2,3,3,2
538,mother,A,2,1,4,4,2
539,mother,T,2,2,3,3,2
540,mother,T,4,1,3,3,2
541,mother,T,3,2,3,1,1
542,mother,T,2,2,3,3,1
543,mother,T,4,4,4,5,1
544,father,T,4,4,3,2,1
545,father,T,1,3,3,3,2
546,mother,T,3,4,3,4,1
547,father,T,4,4,2,2,1
548,father,T,4,1,1,3,2
549,mother,A,1,1,1,1,1
550,mother,T,4,2,3,3,1
551,father,A,2,2,4,3,2
552,father,T,3,2,3,3,1
553,mother,T,1,1,3,3,1
554,mother,A,1,0,3,3,2
555,father,T,1,1,1,1,1
556,father,T,1,2,3,3,1
557,mother,T,1,2,1,3,2
558,mother,T,3,1,3,3,1
559,mother,T,2,2,3,3,1
560,other,T,1,0,1,1,1
561,mother,T,1,1,4,3,1
562,mother,T,1,1,1,1,2
563,father,T,2,2,4,3,2
564,mother,T,2,2,3,3,1
565,father,T,3,2,3,4,1
566,mother,T,1,1,3,1,2
567,other,T,1,1,3,4,1
568,mother,T,3,2,3,4,1
569,mother,T,3,2,4,1,1
570,mother,T,3,3,1,1,1
571,mother,T,2,2,4,4,1
572,other,T,2,1,3,1,1
573,mother,A,3,2,1,4,1
574,mother,T,1,1,1,3,1
575,other,T,1,1,3,3,1
576,mother,A,4,3,4,4,1
577,mother,T,3,2,3,3,1
578,other,T,1,1,4,3,1
579,mother,T,3,3,3,2,1
580,mother,T,1,3,4,1,2
581,other,T,1,1,3,3,1
582,mother,A,1,2,3,1,1
583,mother,A,1,1,3,1,2
584,mother,T,2,2,3,3,1
585,mother,T,0,0,3,1,1
586,other,A,3,1,1,3,2
587,mother,T,4,2,4,5,1
588,mother,T,2,2,4,4,2
589,mother,T,4,1,1,2,1
590,father,T,1,2,3,1,2
591,mother,T,1,1,3,3,1
592,father,T,2,2,1,4,1
593,mother,T,3,3,4,4,1
594,mother,A,1,2,3,1,2
595,mother,T,4,4,5,5,1
596,mother,T,4,4,3,4,2
597,mother,T,4,2,3,3,1
598,mother,T,2,2,3,1,1
599,mother,T,1,2,4,1,2
600,mother,T,4,4,4,1,1
601,father,T,1,1,4,3,1
602,mother,T,2,2,3,3,1
603,father,T,2,2,4,4,2
604,mother,A,4,2,3,5,2
605,mother,T,1,1,4,1,1
606,father,T,1,1,4,1,1
607,father,T,4,2,3,5,1
608,mother,A,2,1,3,4,2
609,mother,A,1,1,4,1,2
610,father,T,1,2,1,1,1
611,other,A,1,1,1,1,1
612,mother,T,2,2,3,4,1
613,mother,T,4,3,3,4,1
614,father,T,3,3,4,4,1
615,father,T,4,4,4,5,1
616,mother,A,3,2,3,4,2
617,father,T,1,1,4,3,2
618,father,T,1,1,4,1,2
619,mother,A,1,2,3,1,2
620,mother,T,3,3,4,4,1
621,mother,T,4,4,1,1,2
622,father,T,1,2,4,3,1
623,mother,T,1,3,3,1,1
624,mother,T,4,4,4,5,2
625,mother,T,1,1,4,3,1
626,father,T,2,3,4,1,1
627,father,T,4,4,5,3,1
628,father,T,1,2,4,1,2
629,mother,T,2,2,1,3,1
630,mother,T,1,2,3,3,1
631,mother,T,4,4,3,3,2
632,mother,T,1,1,3,3,1
633,other,T,1,1,3,1,1
634,mother,T,4,4,4,5,2
635,mother,T,3,3,3,3,1
636,mother,T,3,1,3,1,1
637,father,T,4,4,5,5,1
638,mother,T,2,1,3,3,1
639,father,T,2,3,4,3,1
640,mother,T,1,1,4,3,1
641,father,T,4,2,3,3,1
642,mother,T,2,2,3,1,1
643,mother,T,4,3,3,5,1
644,mother,T,4,4,1,5,1
645,mother,T,2,3,3,4,1
646,mother,T,3,1,4,5,2
647,mother,T,1,1,3,3,1
648,mother,T,3,1,4,4,2
649,mother,T,3,2,3,4,2
650,mother,A,4,4,5,1,1
651,father,T,1,1,3,1,1
652,mother,T,1,1,3,1,2
653,mother,T,4,2,4,2,1
654,father,T,3,3,3,3,1
655,mother,T,4,3,3,4,2
656,mother,T,2,2,3,3,2
657,mother,A,4,4,5,3,1
658,mother,A,3,2,3,4,2
659,mother,T,3,4,3,3,1
660,mother,T,4,4,2,5,1
661,father,T,2,1,3,4,1
662,father,T,4,4,4,2,2
663,mother,T,4,3,3,5,1
664,other,A,2,2,3,3,1
665,mother,T,4,4,3,2,1
666,mother,T,4,4,4,4,1
667,mother,T,3,3,3,3,1
668,mother,T,3,2,4,4,1
669,father,T,4,3,3,2,2
670,mother,T,4,3,3,5,1
671,father,T,4,4,2,2,1
672,mother,T,4,2,3,5,2
673,mother,T,2,2,3,3,2
674,mother,T,2,4,2,4,1
675,mother,T,2,2,4,4,1
676,mother,T,2,2,3,3,1
677,mother,T,4,2,4,2,1
678,mother,A,3,4,3,4,2
679,mother,T,4,4,5,5,1
680,mother,T,4,4,4,2,1
681,mother,T,4,4,4,4,1
682,mother,T,4,3,1,5,1
683,mother,T,3,3,3,3,2
684,mother,T,3,2,3,3,1
685,father,T,2,3,3,3,1
686,mother,T,4,3,4,5,2
687,mother,A,4,4,5,3,1
688,mother,T,3,4,2,4,1
689,mother,T,2,2,3,1,1
690,mother,T,2,2,3,3,2
691,other,T,4,4,3,5,2
692,father,T,4,4,5,4,1
693,father,T,2,2,4,4,1
694,father,T,2,2,1,3,2
695,mother,A,4,3,3,3,2
696,mother,A,3,3,4,3,2
697,mother,T,4,3,4,2,1
698,mother,T,4,2,3,5,1
699,father,T,4,4,5,4,1
700,mother,T,2,2,4,4,2
701,mother,T,4,2,3,2,2
702,father,A,4,2,2,2,2
703,mother,T,4,4,4,4,1
704,mother,A,3,3,3,3,2
705,mother,A,2,1,3,3,1
706,mother,A,4,3,4,4,1
707,mother,T,4,4,2,5,1
708,father,T,1,2,1,3,2
709,mother,T,4,2,3,4,1
710,mother,T,4,4,5,2,1
711,father,T,1,1,4,4,1
712,father,T,1,2,4,3,2
713,mother,T,4,3,2,5,1
714,father,T,4,3,4,4,2
715,mother,T,4,3,4,5,2
716,mother,A,4,4,4,3,1
717,mother,T,3,1,3,4,1
718,mother,T,2,2,4,2,2
719,father,T,3,1,3,3,2
720,father,T,3,1,3,3,1
721,mother,T,4,2,3,3,1
722,mother,T,1,1,3,3,1
723,mother,T,3,1,3,3,1
724,mother,T,3,3,4,3,1
725,mother,T,4,3,3,5,1
726,mother,T,4,0,3,5,1
727,mother,T,2,2,3,3,1
728,mother,T,2,1,3,3,1
729,mother,T,3,4,3,1,1
730,father,T,2,3,4,3,1
731,mother,T,2,3,3,3,1
732,mother,T,3,2,3,4,2
733,mother,T,2,2,4,4,2
734,father,T,1,1,3,3,1
735,father,T,4,4,4,4,1
736,mother,T,2,2,3,1,2
737,mother,T,4,2,3,3,1
738,father,T,2,2,3,4,1
739,mother,A,4,4,2,5,2
740,mother,T,3,3,3,3,1
741,mother,T,4,3,3,4,1
742,father,T,3,1,3,3,2
743,mother,T,4,2,4,5,1
744,mother,T,2,2,2,4,2
745,mother,T,1,1,3,1,1
746,mother,T,4,3,3,4,1
747,mother,T,2,1,3,3,1
748,mother,T,4,4,3,3,1
749,mother,T,4,3,1,3,1
750,mother,T,4,4,4,4,1
751,father,T,4,4,5,4,1
752,mother,T,4,4,3,4,1
753,mother,T,3,2,3,4,1
754,mother,A,3,4,3,4,1
755,father,A,3,3,2,3,1
756,mother,T,2,2,3,3,1
757,father,T,3,3,3,4,1
758,father,T,4,4,3,3,1
759,mother,T,4,4,2,2,2
760,mother,A,4,4,5,5,2
761,father,T,3,3,3,4,1
762,mother,T,2,2,3,1,1
763,mother,T,4,2,3,5,2
764,mother,T,2,1,4,2,1
765,father,T,4,4,5,5,1
766,father,T,4,4,5,3,1
767,father,T,3,3,4,3,1
768,father,T,1,3,3,3,1
769,father,T,3,4,3,3,1
770,mother,T,1,2,4,1,1
771,father,T,2,2,4,4,1
772,father,T,2,4,2,3,2
773,mother,T,4,4,3,2,1
774,mother,T,2,2,3,3,1
775,father,T,3,4,4,4,1
776,mother,A,3,4,3,3,2
777,other,T,0,1,3,1,1
778,mother,T,4,4,5,5,1
779,mother,T,2,3,3,3,1
780,father,T,3,4,5,4,1
781,mother,T,2,1,3,4,1
782,mother,A,2,1,3,3,2
783,mother,T,1,1,3,1,1
784,father,T,2,2,3,3,2
785,father,A,3,4,3,4,1
786,mother,T,2,1,3,1,1
787,mother,A,2,2,3,3,1
788,mother,T,3,4,5,1,1
789,mother,T,4,4,1,4,1
790,mother,T,3,4,3,1,1
791,mother,T,1,1,3,1,1
792,mother,T,3,1,4,4,2
793,other,A,3,2,4,3,1
794,mother,T,1,1,4,3,1
795,other,A,3,3,3,3,1
796,mother,T,1,1,3,4,2
797,mother,T,4,4,5,5,1
798,mother,T,1,1,3,3,1
799,father,T,4,3,4,5,1
800,mother,A,3,3,4,4,1
801,mother,T,4,4,4,4,1
802,father,T,2,2,4,4,2
803,mother,T,4,4,4,5,1
804,mother,T,1,1,1,1,2
805,mother,T,2,1,3,3,1
806,father,T,1,1,4,3,1
807,mother,A,2,1,3,1,2
808,father,T,3,2,4,2,1
809,mother,T,1,2,3,1,1
810,father,T,1,2,4,1,1
811,mother,T,4,4,5,5,1
812,mother,A,2,1,3,4,2
813,mother,T,1,1,3,3,2
814,mother,T,2,1,3,1,2
815,other,T,3,3,4,4,1
816,mother,T,3,2,1,4,1
817,mother,T,4,4,5,3,1
818,mother,T,2,3,4,1,1
819,mother,T,1,2,3,3,2
820,mother,T,1,1,3,1,1
821,mother,T,2,2,3,1,1
822,father,T,3,3,4,3,1
823,mother,T,1,2,4,2,2
824,mother,T,2,1,3,1,2
825,mother,T,3,2,3,3,1
826,mother,T,1,2,3,3,2
827,father,T,1,3,4,1,1
828,mother,T,1,1,4,3,2
829,mother,T,3,2,4,4,1
830,father,T,2,2,3,3,1
831,father,T,4,2,4,2,1
832,mother,T,2,2,3,3,1
